SALE TYPE,PROPERTY TYPE,PROPERTY ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,PROPERTY LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA MONTH,PROPERTY STATUS,SOURCE_\ URL ,SOURCE,MLS NO,LATITUDE,LONGITUDE
MLS Listing,Single Family Residential,354 Niagara Ave,San Francisco,CA,94112,959000,2,1.0,San Francisco,850,1751,1943,1,,Active,http://www.redfin.com/CA/San-Francisco/354-Niagara-Ave-94112/home/1918511,San Francisco MLS,512421,37.7192997,-122.4466906
MLS Listing,Condo/Co-op,1701 Jackson St #603,San Francisco,CA,94109,1225000,2,2.0,San Francisco,1109,38432,2001,1,851,Active,http://www.redfin.com/CA/San-Francisco/1701-Jackson-St-94109/unit-603/home/1810423,San Francisco MLS,421517141,37.7934317,-122.4234277
MLS Listing,Multi-Family (2-4 Unit),825 - 829 22nd St,San Francisco,CA,94107,3200000,5,3.0,San Francisco,5040,2375,,1,,Active,http://www.redfin.com/CA/San-Francisco/825-22nd-St-94107/home/1759421,San Francisco MLS,421516997,37.7576321,-122.3897495
MLS Listing,Condo/Co-op,638 19th St #10,San Francisco,CA,94107,1525000,3,2.5,San Francisco,1467,14761,2007,1,648,Active,http://www.redfin.com/CA/San-Francisco/638-19th-St-94107/unit-10/home/12277838,San Francisco MLS,513240,37.7620843,-122.3890109
MLS Listing,Single Family Residential,20 Ridgewood Ave,San Francisco,CA,94112,1195000,2,2.0,San Francisco,1690,2495,1909,1,,Active,http://www.redfin.com/CA/San-Francisco/20-Ridgewood-Ave-94112/home/2011050,San Francisco MLS,421517050,37.7302041,-122.4531595
MLS Listing,Single Family Residential,2415 Octavia St,San Francisco,CA,94109,4595000,7,3.5,San Francisco,6781,2824,1892,1,,Active,http://www.redfin.com/CA/San-Francisco/2415-Octavia-St-94109/home/563713,San Francisco MLS,421517272,37.7949366,-122.4286088
MLS Listing,Single Family Residential,313 Duncan St,San Francisco,CA,94131,4695000,5,5.5,San Francisco,,3001,1900,1,,Active,http://www.redfin.com/CA/San-Francisco/313-Duncan-St-94131/home/1464726,San Francisco MLS,508220,37.745812,-122.427582
MLS Listing,Condo/Co-op,255 Berry St #708,San Francisco,CA,94158,2995000,2,2.5,San Francisco,2435,42959,2004,1,1049,Active,http://www.redfin.com/CA/San-Francisco/255-Berry-St-94158/unit-708/home/874161,San Francisco MLS,421517348,37.7741864,-122.3947434
MLS Listing,Condo/Co-op,555 4th St #535,San Francisco,CA,94107,749000,1,1.0,San Francisco,691,63237,,1,621,Active,http://www.redfin.com/CA/San-Francisco/555-4th-St-94107/unit-535/home/12277709,San Francisco MLS,514778,37.7794218,-122.3967124
MLS Listing,Condo/Co-op,2944 Polk St,San Francisco,CA,94109,1850000,3,3.0,San Francisco,,2186,1926,1,,Active,http://www.redfin.com/CA/San-Francisco/2944-Polk-St-94109/home/174374458,San Francisco MLS,514191,37.8040705,-122.4233091
MLS Listing,Condo/Co-op,601 Alabama St #102,SAN FRANCISCO,CA,94110,998888,3,2.0,SAN FRANCISCO,1232,,2009,1,837,Active,http://www.redfin.com/CA/San-Francisco/601-Alabama-St-94110/unit-102/home/40138250,MLSListings,ML81828676,37.7610337,-122.411506
